marca,clase,cantidad
SUZUKI,Motocicleta,20537
SHINERAY,Motocicleta,7156
YAMAHA,Motocicleta,6872
MOTOR UNO,Motocicleta,5457
Otras Marcas,Motocicleta,5389
TRAXX,Motocicleta,4440
HONDA,Motocicleta,3967
RANGER,Motocicleta,3806
TEKNO,Motocicleta,2744
ORO MOTO,Motocicleta,2227
JIALING,Motocicleta,1997
QMC,Motocicleta,1602
LONCIN,Motocicleta,1406
HUSSAR,Motocicleta,1235
PEGASO,Motocicleta,1159
QINGQI,Motocicleta,1112
JIANSHE,Motocicleta,922
DAYTONA,Motocicleta,852
LINGKEN,Motocicleta,842
DUCAR,Motocicleta,685
KAWASAKI,Motocicleta,664
YASAKI,Motocicleta,627
DAYANG,Motocicleta,616
LIFAN,Motocicleta,607
JINCHENG,Motocicleta,519
BAJAJ,Motocicleta,479
MICARGI,Motocicleta,427
JIEDA,Motocicleta,408
LONGJIA,Motocicleta,402
AMAZON,Motocicleta,377
SANYA,Motocicleta,365
SINSKI,Motocicleta,348
DAKAR,Motocicleta,335
GALARDI,Motocicleta,335
LAMBORBINI,Motocicleta,326
AXXO,Motocicleta,325
KOSHIN,Motocicleta,315
KINGDOM,Motocicleta,314
KINLON,Motocicleta,298
VESPA,Motocicleta,282
SKYGO,Motocicleta,278
SUKIDA,Motocicleta,277
BMA,Motocicleta,266
YAMOTO,Motocicleta,262
MACAT,Motocicleta,255
OKAZAKI,Motocicleta,229
KTM,Motocicleta,225
LML,Motocicleta,179
BMW,Motocicleta,161
NIMBUS,Motocicleta,156
HYUNDAI,Motocicleta,145
SRM,Motocicleta,137
HARLEY DAVIDSON,Motocicleta,131
THUNDER,Motocicleta,103
VYCAST,Motocicleta,87
DAYUN,Motocicleta,64
ZANYA,Motocicleta,55
TOYOTA,Motocicleta,54
OSAKA,Motocicleta,48
DONGFENG,Motocicleta,17
FORMOSA,Motocicleta,8
CHEVROLET,Motocicleta,2
TVS,Motocicleta,1
LADA,Motocicleta,1
MAZDA,Motocicleta,1
